Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 5
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","04/05/2022","1217","N8553W","MDW","19:00","19:12","12"
"WN","04/05/2022","1247","N927WN","BUR","15:30","15:52","22"
"WN","04/05/2022","1249","N927WN","RNO","19:00","19:05","5"
"WN","04/05/2022","1276","N7833A","AUS","05:00","04:57","-3"
"WN","04/05/2022","1277","N221WN","SMF","14:25","14:52","27"
"WN","04/05/2022","1287","N247WN","DAL","05:30","05:35","5"
"WN","04/05/2022","1289","N247WN","DEN","21:20","21:17","-3"
"WN","04/05/2022","1293","N8717M","HNL","09:35","09:35","0"
"WN","04/05/2022","1297","N8740A","LGB","07:10","07:15","5"
"WN","04/05/2022","1302","N7733B","SNA","16:20","16:53","33"
"WN","04/05/2022","1305","N8512U","MDW","06:20","06:53","33"
"WN","04/05/2022","1309","N280WN","ONT","05:30","05:28","-2"
"WN","04/05/2022","1313","N8571Z","ELP","18:25","18:19","-6"
"WN","04/05/2022","1316","N234WN","SNA","20:40","21:24","44"
"WN","04/05/2022","1320","N464WN","RNO","05:40","05:40","0"
"WN","04/05/2022","1335","N8508W","SJC","05:45","05:43","-2"
"WN","04/05/2022","1341","N8328A","SJC","08:25","08:21","-4"
"WN","04/05/2022","1349","N8561Z","SMF","05:15","05:10","-5"
"WN","04/05/2022","1351","N8561Z","RNO","13:05","13:04","-1"
"WN","04/05/2022","1352","N8635F","STL","05:25","05:38","13"
"WN","04/05/2022","1362","N8668A","TUS","12:10","12:11","1"
"WN","04/05/2022","1365","N8668A","OAK","22:45","22:50","5"
"WN","04/05/2022","1402","N457WN","SLC","22:55","23:36","41"
"WN","04/05/2022","1405","N7865A","SJC","10:10","10:57","47"
"WN","04/05/2022","1410","N7713A","SEA","22:35","22:34","-1"
"WN","04/05/2022","1416","N8629A","SAN","11:25","11:34","9"
"WN","04/05/2022","1520","N569WN","SAN","18:20","19:22","62"
"WN","04/05/2022","1657","N453WN","SMF","21:40","22:09","29"
"WN","04/05/2022","1660","N8664J","HOU","20:00","20:44","44"
"WN","04/05/2022","1661","N8573Z","RNO","10:45","10:53","8"
"WN","04/05/2022","1662","N8573Z","BWI","18:00","18:10","10"
"WN","04/05/2022","1667","N8699A","EUG","13:15","13:12","-3"
"WN","04/05/2022","1714","N8514F","DAL","17:05","18:43","98"
"WN","04/05/2022","1726","N7851A","PHX","16:20","17:12","52"
"WN","04/05/2022","1809","N7816B","RNO","16:40","17:04","24"
"WN","04/05/2022","1827","N7860A","SAN","17:15","17:20","5"
"WN","04/05/2022","1843","N8526W","SJC","20:45","20:55","10"
"WN","04/05/2022","1853","N8327A","OAK","09:55","10:01","6"
"WN","04/05/2022","1855","N8327A","OAK","14:50","14:49","-1"
"WN","04/05/2022","1928","N8531Q","SNA","11:15","12:04","49"
"WN","04/05/2022","1947","N8555Z","SAT","08:20","08:52","32"
"WN","04/05/2022","2001","N485WN","SMF","11:30","11:54","24"
"WN","04/05/2022","2026","N451WN","SJC","11:50","11:53","3"
"WN","04/05/2022","2041","N8710M","OAK","07:20","07:20","0"
"WN","04/05/2022","2044","N8710M","BNA","18:30","19:01","31"
"WN","04/05/2022","2067","N8673F","MDW","20:00","20:17","17"
"WN","04/05/2022","2076","N8600F","DEN","16:30","16:50","20"
"WN","04/05/2022","2083","N935WN","LGB","19:55","19:57","2"
"WN","04/05/2022","2150","N405WN","SJC","18:50","19:01","11"
