Detailed Statistics Departures  
Origin Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 3
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes)
"WN","04/03/2020","1757","","SLC","06:50","00:00","0"
"WN","04/03/2020","1774","","LAX","16:40","00:00","0"
"WN","04/03/2020","1799","N733SA","SJC","16:25","16:20","-5"
"WN","04/03/2020","1800","N733SA","SMF","21:50","21:40","-10"
"WN","04/03/2020","1806","N8607M","SJC","15:25","15:18","-7"
"WN","04/03/2020","1822","","SAN","05:55","00:00","0"
"WN","04/03/2020","1839","N432WN","SMF","18:45","18:36","-9"
"WN","04/03/2020","1840","N8502Z","SMF","06:30","06:24","-6"
"WN","04/03/2020","1861","N8644C","HOU","20:55","20:54","-1"
"WN","04/03/2020","1872","","SMF","09:55","00:00","0"
"WN","04/03/2020","1883","N8695D","SMF","15:50","15:48","-2"
"WN","04/03/2020","1885","N8695D","SJC","20:35","20:27","-8"
"WN","04/03/2020","1910","","RNO","16:40","00:00","0"
"WN","04/03/2020","1921","","DEN","09:15","00:00","0"
"WN","04/03/2020","1929","","SNA","06:55","00:00","0"
"WN","04/03/2020","1962","","SAN","13:25","00:00","0"
"WN","04/03/2020","1984","","AUS","15:00","00:00","0"
"WN","04/03/2020","2007","","SMF","14:10","00:00","0"
"WN","04/03/2020","2030","","BUR","06:55","00:00","0"
"WN","04/03/2020","2044","","STL","06:00","00:00","0"
"WN","04/03/2020","2051","N916WN","LAX","08:05","08:00","-5"
"WN","04/03/2020","2076","","SFO","09:30","00:00","0"
"WN","04/03/2020","2097","N957WN","DEN","20:55","00:00","0"
"WN","04/03/2020","2111","N429WN","ABQ","17:50","17:47","-3"
"WN","04/03/2020","2144","N557WN","SFO","21:45","21:40","-5"
"WN","04/03/2020","2151","N291WN","DEN","16:35","16:34","-1"
"WN","04/03/2020","2239","N965WN","SNA","21:05","20:57","-8"
"WN","04/03/2020","2254","","IND","06:45","00:00","0"
"WN","04/03/2020","2298","N8650F","MCO","18:35","18:33","-2"
"WN","04/03/2020","2343","N706SW","SJC","18:10","18:04","-6"
"WN","04/03/2020","2344","N941WN","CMH","17:00","16:55","-5"
"WN","04/03/2020","2355","N239WN","STL","17:20","00:00","0"
"WN","04/03/2020","2357","N953WN","MKE","19:30","19:19","-11"
"WN","04/03/2020","2358","","MDW","11:55","00:00","0"
"WN","04/03/2020","2365","","DSM","12:25","00:00","0"
"WN","04/03/2020","2366","N8560Z","PIT","08:30","08:33","3"
"WN","04/03/2020","2378","","BWI","05:35","00:00","0"
"WN","04/03/2020","2379","","MDW","10:20","00:00","0"
"WN","04/03/2020","2380","","CMH","08:20","00:00","0"
"WN","04/03/2020","2387","N8552Z","DEN","21:55","21:54","-1"
"WN","04/03/2020","2407","","BUR","16:20","00:00","0"
"WN","04/03/2020","2419","","SJC","06:05","00:00","0"
"WN","04/03/2020","2422","N930WN","PDX","21:25","21:16","-9"
"WN","04/03/2020","2427","N8614M","STL","10:45","10:42","-3"
"WN","04/03/2020","2431","N298WN","SAN","19:40","00:00","0"
"WN","04/03/2020","2442","","DEN","14:35","00:00","0"
"WN","04/03/2020","2468","","SJC","19:05","00:00","0"
"WN","04/03/2020","2469","","BUR","09:40","00:00","0"
"WN","04/03/2020","2475","","MDW","15:10","00:00","0"
"WN","04/03/2020","2491","","SAN","12:00","00:00","0"
"WN","04/03/2020","2492","","PDX","09:25","00:00","0"
"WN","04/03/2020","2510","N915WN","PHX","14:55","14:56","1"
"WN","04/03/2020","2517","N956WN","SAN","17:30","17:35","5"
"WN","04/03/2020","2520","","DAL","08:45","00:00","0"
"WN","04/03/2020","2522","","SNA","14:45","00:00","0"
"WN","04/03/2020","2524","N8673F","BHM","13:15","13:09","-6"
"WN","04/03/2020","2531","","SJC","08:15","00:00","0"
"WN","04/03/2020","2547","","SAT","12:00","00:00","0"
"WN","04/03/2020","2562","N939WN","MCI","08:15","08:07","-8"
"WN","04/03/2020","2595","N958WN","SFO","13:25","13:16","-9"
"WN","04/03/2020","2603","","TUS","14:20","00:00","0"
"WN","04/03/2020","2623","N8603F","DAL","12:30","12:41","11"
"WN","04/03/2020","2625","","ELP","08:15","00:00","0"
"WN","04/03/2020","2626","N7812G","OKC","20:00","20:00","0"
"WN","04/03/2020","2637","N8689C","SMF","17:55","17:49","-6"
"WN","04/03/2020","2639","","MDW","16:35","00:00","0"
"WN","04/03/2020","2650","N752SW","SFO","18:20","18:13","-7"
"WN","04/03/2020","2656","","RNO","14:25","00:00","0"
"WN","04/03/2020","2684","","RNO","11:15","00:00","0"
"WN","04/03/2020","2686","N7734H","SNA","17:10","17:03","-7"
"WN","04/03/2020","2689","N7724A","SAT","15:25","15:19","-6"
"WN","04/03/2020","2696","","RNO","06:55","00:00","0"
"WN","04/03/2020","2706","","DEN","06:55","00:00","0"
"WN","04/03/2020","2708","","SAN","08:40","00:00","0"
"WN","04/03/2020","2715","N253WN","SAN","07:45","07:42","-3"
"WN","04/03/2020","2716","N436WN","RNO","18:00","17:56","-4"
"WN","04/03/2020","2735","","SAN","15:25","00:00","0"
"WN","04/03/2020","2742","","ABQ","10:40","00:00","0"
"WN","04/03/2020","2743","","HOU","08:35","00:00","0"
"WN","04/03/2020","2958","N959WN","DEN","22:45","22:41","-4"
"WN","04/03/2020","3022","N7830A","HOU","16:15","16:09","-6"
"WN","04/03/2020","3065","N8520Q","IND","19:20","19:20","0"
"WN","04/03/2020","3099","N215WN","BUR","14:40","14:35","-5"
"WN","04/03/2020","3181","N284WN","BOI","21:20","21:13","-7"
"WN","04/03/2020","3199","","SEA","08:15","00:00","0"
"WN","04/03/2020","3205","N929WN","ABQ","06:20","06:12","-8"
"WN","04/03/2020","3315","N7835A","STL","20:30","20:25","-5"
"WN","04/03/2020","3408","N443WN","OMA","20:20","20:14","-6"
"WN","04/03/2020","3844","N275WN","PIT","18:30","18:27","-3"
"WN","04/03/2020","3866","N710SW","RNO","20:25","20:20","-5"
"WN","04/03/2020","3898","N298WN","SAN","22:05","21:59","-6"
"WN","04/03/2020","3912","N937WN","ATL","05:10","05:05","-5"
"WN","04/03/2020","4111","N295WN","MKE","13:10","13:06","-4"
"WN","04/03/2020","4112","","TUS","11:15","00:00","0"
"WN","04/03/2020","4138","N205WN","PHX","22:30","22:30","0"
"WN","04/03/2020","4156","N8610A","OAK","21:35","21:49","14"
"WN","04/03/2020","4313","","SEA","20:00","00:00","0"
"WN","04/03/2020","4319","","ABQ","08:05","00:00","0"
"WN","04/03/2020","4358","","LAX","15:55","00:00","0"
"WN","04/03/2020","4366","N781WN","PDX","12:35","12:29","-6"
"WN","04/03/2020","4390","N403WN","ELP","21:55","21:45","-10"
"WN","04/03/2020","4423","N8661A","RNO","05:30","05:26","-4"
"WN","04/03/2020","4444","N8563Z","FLL","08:25","08:28","3"
"WN","04/03/2020","4685","","HOU","05:15","00:00","0"
"WN","04/03/2020","4703","N265WN","ICT","12:50","12:43","-7"
"WN","04/03/2020","6113","","ONT","12:50","00:00","0"

 SOURCE: Bureau of Transportation Statistics
