Detailed Statistics Arrivals  
Destination Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): April
Day(s): 3
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes)
"WN","04/03/2020","1839","N432WN","DAL","18:05","17:47","-18"
"WN","04/03/2020","1861","N8644C","MDW","20:10","19:59","-11"
"WN","04/03/2020","1872","","MDW","09:05","00:00","0"
"WN","04/03/2020","1883","N8520Q","ABQ","15:00","14:39","-21"
"WN","04/03/2020","1884","N8695D","SMF","19:40","19:38","-2"
"WN","04/03/2020","1910","","BUR","16:00","00:00","0"
"WN","04/03/2020","1915","","SNA","18:55","00:00","0"
"WN","04/03/2020","1921","","SNA","08:35","00:00","0"
"WN","04/03/2020","1948","N265WN","TUS","11:45","11:29","-16"
"WN","04/03/2020","1962","","SFO","12:45","00:00","0"
"WN","04/03/2020","1984","","BUR","14:15","00:00","0"
"WN","04/03/2020","1991","N283WN","SAN","19:30","19:08","-22"
"WN","04/03/2020","1992","N959WN","BUR","22:05","21:54","-11"
"WN","04/03/2020","2007","","TPA","13:25","00:00","0"
"WN","04/03/2020","2030","N251WN","BOI","06:10","05:59","-11"
"WN","04/03/2020","2051","","TUS","07:25","00:00","0"
"WN","04/03/2020","2076","","LAX","08:40","00:00","0"
"WN","04/03/2020","2144","N8610A","AUS","21:05","21:15","10"
"WN","04/03/2020","2151","N291WN","SNA","15:55","15:41","-14"
"WN","04/03/2020","2152","N273WN","DEN","23:30","23:13","-17"
"WN","04/03/2020","2159","N443WN","ONT","19:00","18:47","-13"
"WN","04/03/2020","2257","N8614M","MCO","10:00","10:03","3"
"WN","04/03/2020","2286","","SAN","15:00","00:00","0"
"WN","04/03/2020","2298","N8650F","SMF","17:50","17:35","-15"
"WN","04/03/2020","2343","N706SW","CMH","17:20","17:09","-11"
"WN","04/03/2020","2350","N284WN","BNA","20:10","20:05","-5"
"WN","04/03/2020","2354","","OMA","16:10","00:00","0"
"WN","04/03/2020","2357","N953WN","PDX","18:50","18:38","-12"
"WN","04/03/2020","2362","N205WN","SLC","21:55","21:36","-19"
"WN","04/03/2020","2365","N7724A","SAN","11:40","11:19","-21"
"WN","04/03/2020","2366","","OKC","07:45","00:00","0"
"WN","04/03/2020","2379","N8603F","RNO","09:35","09:27","-8"
"WN","04/03/2020","2387","N7737E","IND","21:10","20:59","-11"
"WN","04/03/2020","2398","N8317M","OAK","20:20","20:11","-9"
"WN","04/03/2020","2407","","MCI","15:40","00:00","0"
"WN","04/03/2020","2422","N930WN","DEN","20:45","20:30","-15"
"WN","04/03/2020","2424","","SMF","10:45","00:00","0"
"WN","04/03/2020","2442","N8547V","BUF","13:45","13:34","-11"
"WN","04/03/2020","2459","N792SW","SMF","11:55","11:49","-6"
"WN","04/03/2020","2468","","SAN","18:25","00:00","0"
"WN","04/03/2020","2469","","MCI","09:00","00:00","0"
"WN","04/03/2020","2475","","DAL","14:25","00:00","0"
"WN","04/03/2020","2479","","BUR","10:30","00:00","0"
"WN","04/03/2020","2491","","PDX","11:20","00:00","0"
"WN","04/03/2020","2492","","PHX","08:40","00:00","0"
"WN","04/03/2020","2496","N289CT","OAK","10:10","09:53","-17"
"WN","04/03/2020","2502","N8538V","DEN","22:20","22:17","-3"
"WN","04/03/2020","2517","N956WN","ELP","16:50","16:28","-22"
"WN","04/03/2020","2520","","MDW","08:00","00:00","0"
"WN","04/03/2020","2522","N7734H","DSM","14:05","13:51","-14"
"WN","04/03/2020","2524","N8673F","SJC","12:35","12:22","-13"
"WN","04/03/2020","2531","","OMA","07:40","00:00","0"
"WN","04/03/2020","2547","N916WN","LAX","11:20","10:55","-25"
"WN","04/03/2020","2555","","STL","07:35","00:00","0"
"WN","04/03/2020","2562","","SMF","07:35","00:00","0"
"WN","04/03/2020","2571","","LAX","13:50","00:00","0"
"WN","04/03/2020","2580","","BWI","00:10","00:00","0"
"WN","04/03/2020","2595","N958WN","SAN","12:45","12:36","-9"
"WN","04/03/2020","2603","N954WN","SMF","13:40","13:18","-22"
"WN","04/03/2020","2625","N497WN","OAK","07:35","07:27","-8"
"WN","04/03/2020","2626","N7812G","GEG","19:25","19:06","-19"
"WN","04/03/2020","2637","N8689C","AUS","17:10","17:04","-6"
"WN","04/03/2020","2639","","OAK","15:55","00:00","0"
"WN","04/03/2020","2650","N752SW","RNO","17:40","17:24","-16"
"WN","04/03/2020","2656","N915WN","LIT","13:45","13:30","-15"
"WN","04/03/2020","2667","","MKE","19:20","00:00","0"
"WN","04/03/2020","2676","","OAK","23:10","00:00","0"
"WN","04/03/2020","2684","","ONT","10:35","00:00","0"
"WN","04/03/2020","2689","","PDX","14:45","00:00","0"
"WN","04/03/2020","2691","N7866A","PHX","16:05","15:56","-9"
"WN","04/03/2020","2696","N7819A","DEN","06:20","06:31","11"
"WN","04/03/2020","2699","N478WN","PHX","20:00","19:52","-8"
"WN","04/03/2020","2708","","SJC","08:00","00:00","0"
"WN","04/03/2020","2715","","AUS","07:00","00:00","0"
"WN","04/03/2020","2716","N436WN","ABQ","17:20","16:58","-22"
"WN","04/03/2020","2726","N425LV","SNA","20:30","00:00","0"
"WN","04/03/2020","2735","","SJC","14:35","00:00","0"
"WN","04/03/2020","2742","","SAN","10:00","00:00","0"
"WN","04/03/2020","2743","","PIT","07:50","00:00","0"
"WN","04/03/2020","2774","N8318F","ATL","22:20","21:51","-29"
"WN","04/03/2020","2947","N8607M","SJC","22:50","22:40","-10"
"WN","04/03/2020","3035","","DEN","10:25","00:00","0"
"WN","04/03/2020","3065","N454WN","DEN","18:35","18:31","-4"
"WN","04/03/2020","3101","N939WN","ELP","07:00","06:49","-11"
"WN","04/03/2020","3117","N8503A","HOU","23:45","23:50","5"
"WN","04/03/2020","3181","","SJC","20:35","00:00","0"
"WN","04/03/2020","3195","","SJC","19:50","00:00","0"
"WN","04/03/2020","3199","","SAT","07:30","00:00","0"
"WN","04/03/2020","3315","N7835A","RNO","19:50","19:30","-20"
"WN","04/03/2020","3366","","PHX","22:35","00:00","0"
"WN","04/03/2020","3408","","LAX","19:40","00:00","0"
"WN","04/03/2020","3416","","ABQ","12:10","00:00","0"
"WN","04/03/2020","3482","N939WN","STL","22:55","22:41","-14"
"WN","04/03/2020","3509","","PHX","09:45","00:00","0"
"WN","04/03/2020","3726","","DEN","12:15","00:00","0"
"WN","04/03/2020","3866","N710SW","PIT","19:50","19:37","-13"
"WN","04/03/2020","3898","N298WN","MDW","21:30","21:09","-21"
"WN","04/03/2020","4111","N295WN","DAL","12:15","11:50","-25"
"WN","04/03/2020","4112","","SNA","10:35","00:00","0"
"WN","04/03/2020","4308","N8545V","SEA","00:10","23:56","-14"
"WN","04/03/2020","4321","","OAK","19:15","00:00","0"
"WN","04/03/2020","4390","N403WN","PDX","21:15","21:03","-12"
"WN","04/03/2020","4445","","LAX","12:20","00:00","0"
"WN","04/03/2020","4572","","BWI","12:30","00:00","0"
"WN","04/03/2020","4703","","BUR","12:10","00:00","0"
"WN","04/03/2020","5432","","HOU","20:25","00:00","0"
"WN","04/03/2020","6105","N941WN","ONT","15:40","15:27","-13"

 SOURCE: Bureau of Transportation Statistics
