Detailed Statistics Arrivals  
Destination Airport: Las Vegas, NV: Harry Reid International (LAS)
Airline: Southwest Airlines Co. (WN)
Month(s): May
Day(s): 1
Year(s): 2020

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Arrival Delay (Minutes)
"WN","05/01/2020","1717","","BWI","12:20","00:00","0"
"WN","05/01/2020","1723","","SMF","21:30","00:00","0"
"WN","05/01/2020","1728","N434WN","MDW","13:35","13:02","-33"
"WN","05/01/2020","1748","","SAT","15:10","00:00","0"
"WN","05/01/2020","1781","N763SW","OMA","16:20","16:00","-20"
"WN","05/01/2020","1794","","LAX","13:25","00:00","0"
"WN","05/01/2020","1808","N416WN","MDW","18:45","18:27","-18"
"WN","05/01/2020","1884","","TUL","16:40","00:00","0"
"WN","05/01/2020","1889","N8551Q","TUS","14:40","14:12","-28"
"WN","05/01/2020","1916","","SDF","18:35","00:00","0"
"WN","05/01/2020","1935","","CMH","07:50","00:00","0"
"WN","05/01/2020","1974","","FLL","08:55","00:00","0"
"WN","05/01/2020","1984","N8328A","SEA","14:45","14:18","-27"
"WN","05/01/2020","1987","N494WN","PHX","19:55","19:45","-10"
"WN","05/01/2020","2012","","ICT","15:50","00:00","0"
"WN","05/01/2020","2043","","PHX","11:05","00:00","0"
"WN","05/01/2020","2057","N948WN","MCO","18:35","18:19","-16"
"WN","05/01/2020","2061","","DAL","12:55","00:00","0"
"WN","05/01/2020","2083","","DEN","13:10","00:00","0"
"WN","05/01/2020","2091","","SJC","11:25","00:00","0"
"WN","05/01/2020","2093","N290WN","SJC","16:35","16:22","-13"
"WN","05/01/2020","2111","","RNO","14:00","00:00","0"
"WN","05/01/2020","2114","","SAN","19:10","00:00","0"
"WN","05/01/2020","2118","N920WN","CMH","16:25","16:04","-21"
"WN","05/01/2020","2159","N8647A","PHX","13:05","12:58","-7"
"WN","05/01/2020","2177","","BUF","11:45","00:00","0"
"WN","05/01/2020","2203","","SFO","19:40","00:00","0"
"WN","05/01/2020","2208","","DEN","06:45","00:00","0"
"WN","05/01/2020","2212","","IND","06:45","00:00","0"
"WN","05/01/2020","2214","","BUR","16:10","00:00","0"
"WN","05/01/2020","2230","","LAX","11:55","00:00","0"
"WN","05/01/2020","2365","","OAK","16:30","00:00","0"
"WN","05/01/2020","2623","","LGB","15:00","00:00","0"
"WN","05/01/2020","2934","","BWI","21:15","00:00","0"
"WN","05/01/2020","2986","N700GS","SFO","12:05","11:37","-28"
"WN","05/01/2020","3234","N479WN","SAN","11:40","11:21","-19"
"WN","05/01/2020","3393","","MSY","19:50","00:00","0"
"WN","05/01/2020","3635","","HOU","09:15","00:00","0"
"WN","05/01/2020","3728","","SJC","15:45","00:00","0"
"WN","05/01/2020","4102","N8315C","GEG","10:00","09:54","-6"
"WN","05/01/2020","4206","","DEN","11:00","00:00","0"
"WN","05/01/2020","4233","N8654B","SAT","21:10","20:57","-13"
"WN","05/01/2020","4526","","PDX","08:35","00:00","0"

 SOURCE: Bureau of Transportation Statistics
